run_id,num_tasks,checkpoint_step,prompt_source,prompt_length,n_samples,n_samples_prior,n_prompts,prompt_idx,dist/ed_vs_baseline_memorising,dist/ed_vs_baseline_generalising,dist/sw_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/ed_vs_baseline_misspecified,dist/sw_vs_baseline_misspecified
0m4pu40l,16,150000,memorising,8,100,0,50,12,0.1346816718578338,1.1019759526658863,0.0561381795623035,0.4282750074490831,1.072731614112854,0.4199975416399285
0m4pu40l,16,150000,memorising,8,100,0,50,13,0.1133553683757782,0.6046021558772228,0.0535933914819722,0.2843339694370015,0.570340633392334,0.2528997735267744
0m4pu40l,16,150000,memorising,8,100,0,50,14,0.1126268804073333,0.6655886967649145,0.0535161716944485,0.316419409039608,1.3903241157531738,0.4195209787682985
0m4pu40l,16,150000,memorising,8,100,0,50,15,0.121187537908554,1.5214074149048065,0.0546561211438075,0.4591079487774575,1.1415810585021973,0.4074860628025586
0m4pu40l,16,150000,memorising,8,100,0,50,16,0.1165111064910888,0.5324095559427975,0.0536621142435182,0.2950444404407628,0.5834667682647705,0.3510581276036844
0m4pu40l,16,150000,memorising,8,100,0,50,17,0.1175960302352905,1.1592036088944229,0.0607801381633418,0.3758636105984733,0.8546034097671509,0.2829003608539597
0m4pu40l,16,150000,memorising,8,100,0,50,18,0.110141634941101,1.7219270822137598,0.0531085147105442,0.4819651116121048,1.7410742044448853,0.4742264931021419
0m4pu40l,16,150000,memorising,8,100,0,50,19,0.1061061024665832,0.5958409116689551,0.0500016794213022,0.2576111829192754,0.7037273645401001,0.3069953155089959
0m4pu40l,16,150000,memorising,8,100,0,50,20,0.1301452815532684,1.2573958025898166,0.0568934598669442,0.4506853042384153,1.2633000612258911,0.3821004260968085
0m4pu40l,16,150000,memorising,8,100,0,50,21,0.1205677986145019,0.4561553186982636,0.0543147726883843,0.2413411246765362,0.4046990871429443,0.1875149519083244
0m4pu40l,16,150000,memorising,8,100,0,50,22,0.1164492070674896,0.4651263709684843,0.054026622560295,0.2752084925502305,0.69358229637146,0.3163017554319822
0m4pu40l,16,150000,memorising,8,100,0,50,23,0.114462211728096,2.364715818652752,0.0529013660657539,0.6253224474290634,2.193005084991455,0.5522938180335689
0m4pu40l,16,150000,memorising,8,100,0,50,24,0.3643412590026855,2.072949228839151,0.2249359520921245,0.5627249822415555,1.8277641534805296,0.5105736243751068
0m4pu40l,16,150000,memorising,8,100,0,50,25,0.110220730304718,0.7260329183524536,0.0520513617158895,0.2998190434465231,0.7721649408340454,0.2967868073855333
0m4pu40l,16,150000,memorising,8,100,0,50,26,0.1143900454044342,3.5939270645575743,0.0537011518227961,0.728785029344128,3.4805471897125244,0.6574563470251317
0m4pu40l,16,150000,memorising,8,100,0,50,27,0.1272015571594238,0.8480539938613985,0.055947286634739,0.3411205996249767,0.8051204681396484,0.3218080024504277
0m4pu40l,16,150000,memorising,8,100,0,50,28,0.1271125674247741,1.3963213656181004,0.0576566913433754,0.4644712503019075,2.3162760734558105,0.606238402135779
0m4pu40l,16,150000,memorising,8,100,0,50,29,0.1876586973667144,0.8722535880958486,0.06835741228125,0.3279508401548391,0.838959813117981,0.2978278418939399
0m4pu40l,16,150000,memorising,8,100,0,50,30,0.1192578077316284,1.3180811684894482,0.053343037466493,0.4351870256712673,1.840035319328308,0.5093840792933743
0m4pu40l,16,150000,memorising,8,100,0,50,31,0.1209028661251068,1.6101903308838177,0.054633236328349,0.4700897955719019,1.581503987312317,0.4447944044158991
0m4pu40l,16,150000,memorising,8,100,0,50,32,0.118034690618515,0.757989922009269,0.0545707895428909,0.3685301538784925,0.8757119178771973,0.3555258150372772
0m4pu40l,16,150000,memorising,8,100,0,50,33,0.1219698190689086,1.5222158566557689,0.0546042192523808,0.4930545131763771,1.6869601011276243,0.5097541832146071
0m4pu40l,16,150000,memorising,8,100,0,50,34,0.1078949123620987,1.1907114237548395,0.0523903835369413,0.4249988030557561,1.387026071548462,0.4964151351739499
0m4pu40l,16,150000,memorising,8,100,0,50,35,0.1334359049797058,2.84155415526807,0.0551262796978,0.6439996967437033,2.809289932250977,0.6551702007602123
0m4pu40l,16,150000,memorising,8,100,0,50,36,0.1254070401191711,0.9483024678460664,0.0562756118454396,0.3685888572359747,1.29784095287323,0.3938807485191924
0m4pu40l,16,150000,memorising,8,100,0,50,37,0.1137448847293853,1.0668000716875292,0.053260561715812,0.4030845989265581,1.2158591747283936,0.4446448848575912
0m4pu40l,16,150000,memorising,8,100,0,50,38,0.1039372682571411,0.5260302620987909,0.0500085197819943,0.2838681880378541,0.6723178625106812,0.3092478774107442
